age,job,marital,education,housing,loan,contact,month,day_of_week,duration,yes
32,technician,single,university.degree,no,yes,cellular,jul,wed,90,no
40,management,married,professional.course,unknown,unknown,cellular,may,tue,247,no
37,technician,married,professional.course,yes,no,telephone,jun,tue,296,no
29,services,single,high.school,yes,no,cellular,nov,wed,146,no
59,retired,married,basic.9y,no,no,cellular,aug,mon,105,no
25,technician,single,university.degree,yes,no,cellular,jul,wed,259,no
52,blue-collar,married,basic.4y,yes,no,telephone,jun,thu,159,no
42,admin.,single,university.degree,yes,no,telephone,may,tue,72,no
58,unknown,married,basic.4y,yes,no,telephone,jun,mon,149,no
59,blue-collar,married,basic.9y,no,no,cellular,may,tue,690,yes
45,services,married,high.school,yes,no,telephone,jul,tue,68,no
43,blue-collar,divorced,basic.9y,no,yes,telephone,jun,fri,222,no
43,blue-collar,married,basic.9y,no,yes,cellular,jul,tue,148,no
34,blue-collar,married,unknown,unknown,unknown,telephone,may,fri,298,no
47,blue-collar,married,basic.9y,no,no,cellular,aug,tue,172,no
32,blue-collar,married,basic.9y,yes,no,cellular,nov,mon,160,no
23,services,married,basic.9y,yes,no,cellular,may,mon,20,no
44,blue-collar,married,basic.4y,yes,no,cellular,aug,thu,63,no
55,services,divorced,professional.course,no,no,cellular,apr,mon,88,no
50,management,single,university.degree,yes,no,telephone,may,fri,184,no
52,blue-collar,married,basic.9y,no,no,telephone,jun,fri,205,no
30,admin.,married,high.school,yes,no,telephone,nov,thu,26,no
45,admin.,divorced,university.degree,no,yes,cellular,may,mon,63,no
56,entrepreneur,married,university.degree,no,no,telephone,may,tue,153,no
82,retired,married,university.degree,no,no,cellular,aug,fri,79,no
51,blue-collar,married,basic.4y,yes,yes,cellular,aug,thu,174,no
27,technician,single,unknown,no,no,cellular,oct,tue,404,no
32,blue-collar,married,basic.4y,yes,no,telephone,may,fri,44,no
56,blue-collar,married,basic.4y,yes,no,telephone,jun,mon,52,no
29,housemaid,married,university.degree,no,no,telephone,may,tue,165,no
46,admin.,married,university.degree,no,no,cellular,aug,mon,1141,yes
74,retired,married,professional.course,yes,no,cellular,aug,thu,204,yes
44,services,married,professional.course,yes,no,cellular,may,thu,428,no
30,management,married,university.degree,no,no,cellular,may,thu,162,no
30,admin.,married,university.degree,no,no,cellular,aug,mon,160,no
36,technician,single,professional.course,yes,no,cellular,apr,thu,218,yes
32,technician,married,professional.course,no,no,cellular,apr,mon,688,yes
50,technician,divorced,professional.course,no,no,telephone,may,mon,173,no
32,technician,married,university.degree,no,no,cellular,jul,wed,124,no
